"JP_Kanji","JP_Kana","JP_Roma","org_Longitude","org_Latitude","Classification",lon,lat
"府中町","ふちゅうちょう","Fuchu Cho","132 ゚ 30’","34 ゚ 23’","Municipality",132.5,34.3833333333
"府中市","ふちゅうし","Fuchu Shi","133 ゚ 14’","34 ゚ 34’","Municipality",133.2333333333,34.5666666667
"府中市","ふちゅうし","Fuchu Shi","139 ゚ 28’","35 ゚ 40’","Municipality",139.4666666667,35.6666666667
"普代村","ふだいむら","Fudai Mura","141 ゚ 53’","40 ゚ 00’","Municipality",141.8833333333,40
"笛吹川","ふえふきがわ","Fuefuki Gawa","138 ゚ 36’","35 ゚ 36’","River",138.6,35.6
"笛吹市","ふえふきし","Fuefuki Shi","138 ゚ 38’","35 ゚ 38’","Municipality",138.6333333333,35.6333333333
"富士川","ふじかわ","Fuji Kawa","138 ゚ 26’","35 ゚ 25’","River",138.4333333333,35.4166666667
"富士山","ふじさん","Fuji San","138 ゚ 43’","35 ゚ 22’","Mountain",138.7166666667,35.3666666667
"富士市","ふじし","Fuji Shi","138 ゚ 40’","35 ゚ 09’","Municipality",138.6666666667,35.15
"藤枝市","ふじえだし","Fujieda Shi","138 ゚ 15’","34 ゚ 52’","Municipality",138.25,34.8666666667
"藤井寺市","ふじいでらし","Fujiidera Shi","135 ゚ 35’","34 ゚ 34’","Municipality",135.5833333333,34.5666666667
"富士川町","ふじかわちょう","Fujikawa Cho","138 ゚ 37’","35 ゚ 08’","Municipality",138.6166666667,35.1333333333
"富士河口湖町","ふじかわぐちこまち","Fujikawaguchiko Machi","138 ゚ 45’","35 ゚ 30’","Municipality",138.75,35.5
"富士見町","ふじみまち","Fujimi Machi","138 ゚ 14’","35 ゚ 54’","Municipality",138.2333333333,35.9
"富士見村","ふじみむら","Fujimi Mura","139 ゚ 04’","36 ゚ 27’","Municipality",139.0666666667,36.45
"富士見市","ふじみし","Fujimi Shi","139 ゚ 32’","35 ゚ 51’","Municipality",139.5333333333,35.85
"ふじみ野市","ふじみのし","Fujimino Shi","139 ゚ 31’","35 ゚ 52’","Municipality",139.5166666667,35.8666666667
"富士宮市","ふじのみやし","Fujinomiya Shi","138 ゚ 37’","35 ゚ 13’","Municipality",138.6166666667,35.2166666667
"藤岡町","ふじおかまち","Fujioka Machi","139 ゚ 38’","36 ゚ 15’","Municipality",139.6333333333,36.25
"藤岡市","ふじおかし","Fujioka Shi","139 ゚ 04’","36 ゚ 15’","Municipality",139.0666666667,36.25
"藤崎町","ふじさきまち","Fujisaki Machi","140 ゚ 30’","40 ゚ 39’","Municipality",140.5,40.65
"藤里町","ふじさとまち","Fujisato Machi","140 ゚ 15’","40 ゚ 16’","Municipality",140.25,40.2666666667
"藤沢町","ふじさわちょう","Fujisawa Cho","141 ゚ 20’","38 ゚ 51’","Municipality",141.3333333333,38.85
"藤沢市","ふじさわし","Fujisawa Shi","139 ゚ 29’","35 ゚ 20’","Municipality",139.4833333333,35.3333333333
"藤原","ふじわら","Fujiwara","136 ゚ 29’","35 ゚ 09’","Populated area",136.4833333333,35.15
"富士吉田市","ふじよしだし","Fujiyoshida Shi","138 ゚ 48’","35 ゚ 29’","Municipality",138.8,35.4833333333
"深川市","ふかがわし","Fukagawa Shi","142 ゚ 03’","43 ゚ 43’","Municipality",142.05,43.7166666667
"深島","ふかしま","Fukashima","131 ゚ 55’","32 ゚ 42’","Island",131.9166666667,32.7
"深浦町","ふかうらまち","Fukaura Machi","139 ゚ 55’","40 ゚ 38’","Municipality",139.9166666667,40.6333333333
"深谷市","ふかやし","Fukaya Shi","139 ゚ 16’","36 ゚ 11’","Municipality",139.2666666667,36.1833333333
"吹上浜","ふきあげはま","Fukiage Hama","130 ゚ 19’","31 ゚ 30’","Cape",130.3166666667,31.5
"福智町","ふくちまち","Fukuchi Machi","130 ゚ 46’","33 ゚ 40’","Municipality",130.7666666667,33.6666666667
"福知山市","ふくちやまし","Fukuchiyama Shi","135 ゚ 07’","35 ゚ 17’","Municipality",135.1166666667,35.2833333333
"福江島","ふくえじま","Fukue Jima","128 ゚ 43’","32 ゚ 42’","Island",128.7166666667,32.7
"福井県","ふくいけん","Fukui Ken","136 ゚ 13’","36 ゚ 03’","Municipality",136.2166666667,36.05
"福井市","ふくいし","Fukui Shi","136 ゚ 13’","36 ゚ 03’","Municipality",136.2166666667,36.05
"福岡県","ふくおかけん","Fukuoka Ken","130 ゚ 25’","33 ゚ 36’","Municipality",130.4166666667,33.6
"福岡市","ふくおかし","Fukuoka Shi","130 ゚ 24’","33 ゚ 35’","Municipality",130.4,33.5833333333
"福岡湾","ふくおかわん","Fukuoka Wan","130 ゚ 19’","33 ゚ 37’","Sea Area",130.3166666667,33.6166666667
"袋井市","ふくろいし","Fukuroi Shi","137 ゚ 55’","34 ゚ 45’","Municipality",137.9166666667,34.75
"福崎町","ふくさきちょう","Fukusaki Cho","134 ゚ 45’","34 ゚ 57’","Municipality",134.75,34.95
"福島町","ふくしまちょう","Fukushima Cho","140 ゚ 15’","41 ゚ 29’","Municipality",140.25,41.4833333333
"福島県","ふくしまけん","Fukushima Ken","140 ゚ 28’","37 ゚ 45’","Municipality",140.4666666667,37.75
"福島市","ふくしまし","Fukushima Shi","140 ゚ 28’","37 ゚ 45’","Municipality",140.4666666667,37.75
"福徳海山","ふくとくかいざん","Fukutoku Kaizan","141 ゚ 38’","24 ゚ 04’","Undersea feature",141.6333333333,24.0666666667
"福津市","ふくつし","Fukutsu Shi","130 ゚ 29’","33 ゚ 46’","Municipality",130.4833333333,33.7666666667
"福山市","ふくやまし","Fukuyama Shi","133 ゚ 21’","34 ゚ 29’","Municipality",133.35,34.4833333333
"船橋市","ふなばしし","Funabashi Shi","139 ゚ 58’","35 ゚ 41’","Municipality",139.9666666667,35.6833333333
"舟形町","ふながたまち","Funagata Machi","140 ゚ 19’","38 ゚ 41’","Municipality",140.3166666667,38.6833333333
"船形山","ふながたやま","Funagata Yama","140 ゚ 36’","38 ゚ 27’","Mountain",140.6,38.45
"舟橋村","ふなはしむら","Funahashi Mura","137 ゚ 18’","36 ゚ 42’","Municipality",137.3,36.7
"布野","ふの","Funo","132 ゚ 46’","34 ゚ 52’","Populated area",132.7666666667,34.8666666667
"風不死岳","ふっぷしだけ","Fuppushi Dake","141 ゚ 21’","42 ゚ 42’","Mountain",141.35,42.7
"富良野岳","ふらのだけ","Furano Dake","142 ゚ 37’","43 ゚ 23’","Mountain",142.6166666667,43.3833333333
"富良野市","ふらのし","Furano Shi","142 ゚ 23’","43 ゚ 20’","Municipality",142.3833333333,43.3333333333
"風蓮川","ふうれんがわ","Furen Gawa","145 ゚ 15’","43 ゚ 19’","River",145.25,43.3166666667
"風蓮湖","ふうれんこ","Furen Ko","145 ゚ 19’","43 ゚ 17’","Lake",145.3166666667,43.2833333333
"古平町","ふるびらちょう","Furubira Cho","140 ゚ 38’","43 ゚ 15’","Municipality",140.6333333333,43.25
"古岳","ふるだけ","Furudake","130 ゚ 12’","30 ゚ 25’","Mountain",130.2,30.4166666667
"古殿町","ふるどのまち","Furudono Machi","140 ゚ 33’","37 ゚ 05’","Municipality",140.55,37.0833333333
"古釜布","ふるかまっぷ","Furukamappu","145 ゚ 50’","44 ゚ 01’","Populated area",145.8333333333,44.0166666667
"伏見","ふしみ","Fushimi","135 ゚ 46’","34 ゚ 56’","Populated area",135.7666666667,34.9333333333
"椹野川","ふしのがわ","Fushino Gawa","131 ゚ 23’","34 ゚ 02’","River",131.3833333333,34.0333333333
"扶桑町","ふそうちょう","Fuso Cho","136 ゚ 54’","35 ゚ 21’","Municipality",136.9,35.35
"福生市","ふっさし","Fussa Shi","139 ゚ 19’","35 ゚ 44’","Municipality",139.3166666667,35.7333333333
"双葉町","ふたばまち","Futaba Machi","141 ゚ 00’","37 ゚ 26’","Municipality",141,37.4333333333
"二神島","ふたがみしま","Futagami Shima","129 ゚ 33’","33 ゚ 36’","Island",129.55,33.6
"両子山","ふたごさん","Futago San","131 ゚ 35’","33 ゚ 34’","Mountain",131.5833333333,33.5666666667
"二子山","ふたごやま","Futago Yama","138 ゚ 51’","36 ゚ 04’","Mountain",138.85,36.0666666667
"蓋井島","ふたおいじま","Futaoi Jima","130 ゚ 47’","34 ゚ 05’","Island",130.7833333333,34.0833333333
"二ツ森","ふたつもり","Futatsumori","140 ゚ 06’","40 ゚ 26’","Mountain",140.1,40.4333333333
"富津市","ふっつし","Futtsu Shi","139 ゚ 51’","35 ゚ 18’","Municipality",139.85,35.3
"臥蛇島","がじゃじま","Gaja Jima","129 ゚ 32’","29 ゚ 54’","Island",129.5333333333,29.9
"餓鬼岳","がきだけ","Gaki Dake","137 ゚ 43’","36 ゚ 26’","Mountain",137.7166666667,36.4333333333
"蒲郡市","がまごおりし","Gamagori Shi","137 ゚ 13’","34 ゚ 49’","Municipality",137.2166666667,34.8166666667
"月山","がっさん","Gassan","140 ゚ 01’","38 ゚ 32’","Mountain",140.0166666667,38.5333333333
"芸西村","げいせいむら","Geisei Mura","133 ゚ 48’","33 ゚ 31’","Municipality",133.8,33.5166666667
"芸予諸島","げいよしょとう","Geiyo Shoto","132 ゚ 37’","34 ゚ 08’","Extensive natural feature",132.6166666667,34.1333333333
"玄海町","げんかいちょう","Genkai Cho","129 ゚ 52’","33 ゚ 28’","Municipality",129.8666666667,33.4666666667
"玄界島","げんかいじま","Genkai Jima","130 ゚ 14’","33 ゚ 40’","Island",130.2333333333,33.6666666667
"玄界灘","げんかいなだ","Genkai Nada","130 ゚ 10’","33 ゚ 50’","Sea Area",130.1666666667,33.8333333333
"元禄海山","げんろくかいざん","Genroku Kaizan","139 ゚ 01’","31 ゚ 01’","Undersea feature",139.0166666667,31.0166666667
"下呂市","げろし","Gero Shi","137 ゚ 14’","35 ゚ 48’","Municipality",137.2333333333,35.8
"月曜海山","げつようかいざん","Getsuyo Kaizan","140 ゚ 28’","29 ゚ 18’","Undersea feature",140.4666666667,29.3
"岐阜県","ぎふけん","Gifu Ken","136 ゚ 43’","35 ゚ 23’","Municipality",136.7166666667,35.3833333333
"岐阜市","ぎふし","Gifu Shi","136 ゚ 45’","35 ゚ 25’","Municipality",136.75,35.4166666667
"岐南町","ぎなんちょう","Ginan Cho","136 ゚ 46’","35 ゚ 23’","Municipality",136.7666666667,35.3833333333
"宜野湾市","ぎのわんし","Ginowan Shi","127 ゚ 46’","26 ゚ 16’","Municipality",127.7666666667,26.2666666667
"宜野座村","ぎのざそん","Ginoza Son","127 ゚ 58’","26 ゚ 28’","Municipality",127.9666666667,26.4666666667
"銀座","ぎんざ","Ginza","139 ゚ 46’","35 ゚ 39’","Populated area",139.7666666667,35.65
"郷崎","ごうざき","Go Zaki","129 ゚ 11’","34 ゚ 19’","Cape",129.1833333333,34.3166666667
"御坊市","ごぼうし","Gobo Shi","135 ゚ 09’","33 ゚ 53’","Municipality",135.15,33.8833333333
"神戸町","ごうどちょう","Godo Cho","136 ゚ 36’","35 ゚ 25’","Municipality",136.6,35.4166666667
"興居島","ごごしま","Gogo Shima","132 ゚ 39’","33 ゚ 53’","Island",132.65,33.8833333333
"五條市","ごじょうし","Gojo Shi","135 ゚ 41’","34 ゚ 21’","Municipality",135.6833333333,34.35
"五城目町","ごじょうめまち","Gojome Machi","140 ゚ 06’","39 ゚ 56’","Municipality",140.1,39.9333333333
"五霞町","ごかまち","Goka Machi","139 ゚ 44’","36 ゚ 06’","Municipality",139.7333333333,36.1
"五ヶ瀬町","ごかせちょう","Gokase Cho","131 ゚ 11’","32 ゚ 40’","Municipality",131.1833333333,32.6666666667
"五ヶ瀬川","ごかせがわ","Gokase Gawa","131 ゚ 43’","32 ゚ 34’","River",131.7166666667,32.5666666667
"護摩壇山","ごまだんざん","Gomadan Zan","135 ゚ 33’","34 ゚ 03’","Mountain",135.55,34.05
"権現山","ごんげんやま","Gongen Yama","130 ゚ 01’","32 ゚ 14’","Mountain",130.0166666667,32.2333333333
"権現山","ごんげんやま","Gongen Yama","139 ゚ 00’","35 ゚ 40’","Mountain",139,35.6666666667
"五戸川","ごのへがわ","Gonohe Gawa","141 ゚ 28’","40 ゚ 35’","River",141.4666666667,40.5833333333
"五戸町","ごのへまち","Gonohe Machi","141 ゚ 18’","40 ゚ 31’","Municipality",141.3,40.5166666667
"江の川","ごうのかわ","Gonokawa","132 ゚ 13’","35 ゚ 02’","River",132.2166666667,35.0333333333
"江の川(可愛川)","ごうのかわ(えのかわ)","Gonokawa (Eno kawa)","132 ゚ 33’","34 ゚ 43’","River",132.55,34.7166666667
"五竜岳","ごりゅうだけ","Goryu Dake","137 ゚ 44’","36 ゚ 39’","Mountain",137.7333333333,36.65
"御所市","ごせし","Gose Shi","135 ゚ 44’","34 ゚ 27’","Municipality",135.7333333333,34.45
"五泉市","ごせんし","Gosen Shi","139 ゚ 10’","37 ゚ 44’","Municipality",139.1666666667,37.7333333333
"五所川原市","ごしょがわらし","Goshogawara Shi","140 ゚ 26’","40 ゚ 48’","Municipality",140.4333333333,40.8
"御殿場市","ごてんばし","Gotenba Shi","138 ゚ 56’","35 ゚ 18’","Municipality",138.9333333333,35.3
"五島列島","ごとうれっとう","Goto Retto","128 ゚ 50’","32 ゚ 53’","Extensive natural feature",128.8333333333,32.8833333333
"五島市","ごとうし","Goto Shi","128 ゚ 50’","32 ゚ 41’","Municipality",128.8333333333,32.6833333333
"江津市","ごうつし","Gotsu Shi","132 ゚ 13’","35 ゚ 00’","Municipality",132.2166666667,35
"五葉山","ごようざん","Goyo Zan","141 ゚ 43’","39 ゚ 12’","Mountain",141.7166666667,39.2
"御在所山","ございしょやま","Gozaisho Yama","136 ゚ 24’","35 ゚ 01’","Mountain",136.4,35.0166666667
"郡上市","ぐじょうし","Gujo Shi","136 ゚ 57’","35 ゚ 44’","Municipality",136.95,35.7333333333
"群馬県","ぐんまけん","Gunma Ken","139 ゚ 03’","36 ゚ 23’","Municipality",139.05,36.3833333333
"行田市","ぎょうだし","Gyoda Shi","139 ゚ 27’","36 ゚ 08’","Municipality",139.45,36.1333333333
"玉東町","ぎょくとうまち","Gyokuto Machi","130 ゚ 37’","32 ゚ 55’","Municipality",130.6166666667,32.9166666667
"葉山","はやま","Ha Yama","140 ゚ 12’","38 ゚ 31’","Mountain",140.2,38.5166666667
"羽曳野市","はびきのし","Habikino Shi","135 ゚ 36’","34 ゚ 33’","Municipality",135.6,34.55
"歯舞諸島","はぼまいしょとう","Habomai Shoto","145 ゚ 55’","43 ゚ 23’","Extensive natural feature",145.9166666667,43.3833333333
"羽幌町","はぼろちょう","Haboro Cho","141 ゚ 41’","44 ゚ 21’","Municipality",141.6833333333,44.35
"羽幌川","はぼろがわ","Haboro Gawa","141 ゚ 42’","44 ゚ 22’","River",141.7,44.3666666667
"波浮港","はぶみなと","Habuminato","139 ゚ 26’","34 ゚ 41’","Populated area",139.4333333333,34.6833333333
"鉢伏山","はちぶせやま","Hachibuse Yama","138 ゚ 03’","36 ゚ 09’","Mountain",138.05,36.15
"八丈島","はちじょうじま","Hachijo Jima","139 ゚ 48’","33 ゚ 06’","Island",139.8,33.1
"八丈町","はちじょうまち","Hachijo Machi","139 ゚ 47’","33 ゚ 06’","Municipality",139.7833333333,33.1
"八幡岳","はちまんだけ","Hachiman Dake","140 ゚ 13’","41 ゚ 51’","Mountain",140.2166666667,41.85
"八幡平","はちまんたい","Hachiman Tai","140 ゚ 50’","39 ゚ 57’","Extensive natural feature",140.8333333333,39.95
"八幡岬","はちまんざき","Hachiman Zaki","140 ゚ 18’","35 ゚ 07’","Cape",140.3,35.1166666667
"八幡平市","はちまんたいし","Hachimantai Shi","141 ゚ 05’","39 ゚ 55’","Municipality",141.0833333333,39.9166666667
"鉢盛山","はちもりやま","Hachimori Yama","137 ゚ 45’","36 ゚ 05’","Mountain",137.75,36.0833333333
"八戸市","はちのへし","Hachinohe Shi","141 ゚ 29’","40 ゚ 30’","Municipality",141.4833333333,40.5
"八王子市","はちおうじし","Hachioji Shi","139 ゚ 18’","35 ゚ 40’","Municipality",139.3,35.6666666667
"八郎岳","はちろうだけ","Hachiro Dake","129 ゚ 51’","32 ゚ 40’","Mountain",129.85,32.6666666667
"八郎潟調整池","はちろうがたちょうせいち","Hachirogata Choseichi","139 ゚ 57’","39 ゚ 55’","Lake",139.95,39.9166666667
"八郎潟町","はちろうがたまち","Hachirogata Machi","140 ゚ 04’","39 ゚ 56’","Municipality",140.0666666667,39.9333333333
"秦野市","はだのし","Hadano Shi","139 ゚ 13’","35 ゚ 22’","Municipality",139.2166666667,35.3666666667
"波戸岬","はどのみさき","Hadonomisaki","129 ゚ 50’","33 ゚ 33’","Cape",129.8333333333,33.55
"南風原町","はえばるちょう","Haebaru Cho","127 ゚ 43’","26 ゚ 11’","Municipality",127.7166666667,26.1833333333
"芳賀町","はがまち","Haga Machi","140 ゚ 03’","36 ゚ 32’","Municipality",140.05,36.5333333333
"波勝岬","はがちざき","Hagachi Zaki","138 ゚ 43’","34 ゚ 41’","Cape",138.7166666667,34.6833333333
"兀岳","はげたけ","Hage Take","137 ゚ 42’","35 ゚ 33’","Mountain",137.7,35.55
"萩市","はぎし","Hagi Shi","131 ゚ 23’","34 ゚ 24’","Municipality",131.3833333333,34.4
"母島","ははじま","Haha Jima","142 ゚ 09’","26 ゚ 38’","Island",142.15,26.6333333333
"母島海山","ははじまかいざん","Hahajima Kaizan","143 ゚ 10’","26 ゚ 12’","Undersea feature",143.1666666667,26.2
"母島列島","ははじまれっとう","Hahajima Retto","142 ゚ 12’","26 ゚ 39’","Extensive natural feature",142.2,26.65
"早岐","はいき","Haiki","129 ゚ 48’","33 ゚ 07’","Populated area",129.8,33.1166666667
"弾崎","はじきさき","Hajiki Saki","138 ゚ 30’","38 ゚ 20’","Cape",138.5,38.3333333333
"博士山","はかせやま","Hakase Yama","139 ゚ 42’","37 ゚ 21’","Mountain",139.7,37.35
"発荷峠","はっかとうげ","Hakka Toge","140 ゚ 52’","40 ゚ 24’","Pass",140.8666666667,40.4
"八海山","はっかいさん","Hakkai San","139 ゚ 01’","37 ゚ 06’","Mountain",139.0166666667,37.1
"八剣山","はっけんざん","Hakken Zan","135 ゚ 54’","34 ゚ 10’","Mountain",135.9,34.1666666667
"八高山","はっこうざん","Hakko Zan","138 ゚ 03’","34 ゚ 54’","Mountain",138.05,34.9
"八甲田山","はっこうださん","Hakkoda San","140 ゚ 53’","40 ゚ 39’","Mountain",140.8833333333,40.65
"函岳","はこだけ","Hako Dake","142 ゚ 24’","44 ゚ 39’","Mountain",142.4,44.65
"函館市","はこだてし","Hakodate Shi","140 ゚ 43’","41 ゚ 46’","Municipality",140.7166666667,41.7666666667
"函館山","はこだてやま","Hakodate Yama","140 ゚ 41’","41 ゚ 45’","Mountain",140.6833333333,41.75
"箱根町","はこねまち","Hakone Machi","139 ゚ 06’","35 ゚ 13’","Municipality",139.1,35.2166666667
"箱根山","はこねやま","Hakone Yama","139 ゚ 00’","35 ゚ 13’","Mountain",139,35.2166666667
"白馬村","はくばむら","Hakuba Mura","137 ゚ 51’","36 ゚ 41’","Municipality",137.85,36.6833333333
"白鳳海山","はくほうかいざん","Hakuho Kaizan","137 ゚ 31’","27 ゚ 57’","Undersea feature",137.5166666667,27.95
"羽咋市","はくいし","Hakui Shi","136 ゚ 46’","36 ゚ 53’","Municipality",136.7666666667,36.8833333333
"白露海山","はくろかいざん","Hakuro Kaizan","141 ゚ 45’","22 ゚ 10’","Undersea feature",141.75,22.1666666667
"白山","はくさん","Hakusan","136 ゚ 45’","36 ゚ 09’","Mountain",136.75,36.15
"白山瀬","はくさんせ","Hakusan Se","137 ゚ 08’","38 ゚ 30’","Undersea feature",137.1333333333,38.5
"白山市","はくさんし","Hakusan Shi","136 ゚ 33’","36 ゚ 30’","Municipality",136.55,36.5
"伯太川","はくたがわ","Hakuta Gawa","133 ゚ 14’","35 ゚ 27’","River",133.2333333333,35.45
"白雲岳","はくうんだけ","Hakuun Dake","142 ゚ 54’","43 ゚ 39’","Mountain",142.9,43.65
"浜田市","はまだし","Hamada Shi","132 ゚ 04’","34 ゚ 53’","Municipality",132.0666666667,34.8833333333
"浜松市","はままつし","Hamamatsu Shi","137 ゚ 43’","34 ゚ 42’","Municipality",137.7166666667,34.7
"浜名湖","はまなこ","Hamana Ko","137 ゚ 34’","34 ゚ 44’","Lake",137.5666666667,34.7333333333
"浜中町","はまなかちょう","Hamanaka Cho","145 ゚ 07’","43 ゚ 04’","Municipality",145.1166666667,43.0666666667
"浜頓別町","はまとんべつちょう","Hamatonbetsu Cho","142 ゚ 21’","45 ゚ 07’","Municipality",142.35,45.1166666667
"羽村市","はむらし","Hamura Shi","139 ゚ 18’","35 ゚ 46’","Municipality",139.3,35.7666666667
"花巻市","はなまきし","Hanamaki Shi","141 ゚ 07’","39 ゚ 23’","Municipality",141.1166666667,39.3833333333
"花咲岬","はなさきみさき","Hanasaki Misaki","145 ゚ 35’","43 ゚ 16’","Cape",145.5833333333,43.2666666667
"鼻高山","はなたかせん","Hanataka Sen","132 ゚ 45’","35 ゚ 24’","Mountain",132.75,35.4
"塙町","はなわまち","Hanawa Machi","140 ゚ 24’","36 ゚ 57’","Municipality",140.4,36.95
"半田市","はんだし","Handa Shi","136 ゚ 56’","34 ゚ 53’","Municipality",136.9333333333,34.8833333333
"万年山","はねやま","Hane Yama","131 ゚ 07’","33 ゚ 13’","Mountain",131.1166666667,33.2166666667
"阪南市","はんなんし","Hannan Shi","135 ゚ 14’","34 ゚ 21’","Municipality",135.2333333333,34.35
"飯能市","はんのうし","Hanno Shi","139 ゚ 19’","35 ゚ 51’","Municipality",139.3166666667,35.85
"羽生市","はにゅうし","Hanyu Shi","139 ゚ 32’","36 ゚ 10’","Municipality",139.5333333333,36.1666666667
"半沢海山","はんざわかいざん","Hanzawa Kaizan","147 ゚ 00’","25 ゚ 50’","Undersea feature",147,25.8333333333
"八峰町","はっぽうちょう","Happo Cho","140 ゚ 01’","40 ゚ 22’","Municipality",140.0166666667,40.3666666667
"八風山","はっぷうさん","Happu San","138 ゚ 35’","36 ゚ 16’","Mountain",138.5833333333,36.2666666667
"原村","はらむら","Hara Mura","138 ゚ 13’","35 ゚ 57’","Municipality",138.2166666667,35.95
"播磨町","はりまちょう","Harima Cho","134 ゚ 52’","34 ゚ 42’","Municipality",134.8666666667,34.7
"播磨灘","はりまなだ","Harima Nada","134 ゚ 34’","34 ゚ 31’","Sea Area",134.5666666667,34.5166666667
"針ノ木岳","はりのきだけ","Harinoki Dake","137 ゚ 40’","36 ゚ 32’","Mountain",137.6666666667,36.5333333333
"春日町","はるひちょう","Haruhi Cho","136 ゚ 50’","35 ゚ 14’","Municipality",136.8333333333,35.2333333333
"榛名山","はるなさん","Haruna San","138 ゚ 51’","36 ゚ 29’","Mountain",138.85,36.4833333333
"春野町","はるのちょう","Haruno Cho","133 ゚ 29’","33 ゚ 29’","Municipality",133.4833333333,33.4833333333
"春の七草海山群","はるのななくさかいざんぐん","Harunonanakusa Kaizangun","149 ゚ 00’","25 ゚ 10’","Undersea feature",149,25.1666666667
"迫川","はさまがわ","Hasama Gawa","141 ゚ 12’","38 ゚ 36’","River",141.2,38.6
"波佐見町","はさみちょう","Hasami Cho","129 ゚ 53’","33 ゚ 08’","Municipality",129.8833333333,33.1333333333
"階上町","はしかみちょう","Hashikami Cho","141 ゚ 37’","40 ゚ 27’","Municipality",141.6166666667,40.45
"階上岳(種市岳)","はしかみだけ(たねいちだけ)","Hashikami Dake (Taneichi Dake)","141 ゚ 34’","40 ゚ 23’","Mountain",141.5666666667,40.3833333333
"羽島市","はしまし","Hashima Shi","136 ゚ 42’","35 ゚ 19’","Municipality",136.7,35.3166666667
"橋本市","はしもとし","Hashimoto Shi","135 ゚ 36’","34 ゚ 18’","Municipality",135.6,34.3
"柱島","はしらじま","Hashira Jima","132 ゚ 24’","34 ゚ 01’","Island",132.4,34.0166666667
"走島","はしりじま","Hashiri Jima","133 ゚ 26’","34 ゚ 20’","Island",133.4333333333,34.3333333333
"蓮田市","はすだし","Hasuda Shi","139 ゚ 39’","35 ゚ 59’","Municipality",139.65,35.9833333333
"波田町","はたまち","Hata Machi","137 ゚ 51’","36 ゚ 12’","Municipality",137.85,36.2
"畑野","はたの","Hatano","138 ゚ 24’","37 ゚ 59’","Populated area",138.4,37.9833333333
"ハッチャス崎","はっちゃすざき","Hatchasu Zaki","145 ゚ 22’","43 ゚ 49’","Cape",145.3666666667,43.8166666667
"波照間島","はてるまじま","Hateruma Jima","123 ゚ 46’","24 ゚ 02’","Island",123.7666666667,24.0333333333
"波渡崎","はとざき","Hato Zaki","139 ゚ 37’","38 ゚ 41’","Cape",139.6166666667,38.6833333333
"鳩ケ谷市","はとがやし","Hatogaya Shi","139 ゚ 44’","35 ゚ 49’","Municipality",139.7333333333,35.8166666667
"鳩間島","はとまじま","Hatoma Jima","123 ゚ 48’","24 ゚ 28’","Island",123.8,24.4666666667
"鳩山町","はとやままち","Hatoyama Machi","139 ゚ 20’","35 ゚ 58’","Municipality",139.3333333333,35.9666666667
"初島","はつしま","Hatsu Shima","139 ゚ 10’","35 ゚ 02’","Island",139.1666666667,35.0333333333
"廿日市市","はつかいちし","Hatsukaichi Shi","132 ゚ 19’","34 ゚ 20’","Municipality",132.3166666667,34.3333333333
"ハッタオマナイ岳","はったおまないだけ","Hattaomanai Dake","142 ゚ 17’","42 ゚ 50’","Mountain",142.2833333333,42.8333333333
"早池峰山","はやちねさん","Hayachine San","141 ゚ 28’","39 ゚ 33’","Mountain",141.4666666667,39.55
"早出川","はやでがわ","Hayade Gawa","139 ゚ 12’","37 ゚ 42’","River",139.2,37.7
"速日峰(二子山)","はやひのみね(ふたごやま)","Hayahino Mine (Futago Yama)","131 ゚ 27’","32 ゚ 33’","Mountain",131.45,32.55
"早川","はやかわ","Hayakawa","138 ゚ 25’","35 ゚ 25’","River",138.4166666667,35.4166666667
"早川町","はやかわちょう","Hayakawa Cho","138 ゚ 21’","35 ゚ 24’","Municipality",138.35,35.4
"葉山町","はやままち","Hayama Machi","139 ゚ 35’","35 ゚ 16’","Municipality",139.5833333333,35.2666666667
"早坂峠","はやさかとうげ","Hayasaka Toge","141 ゚ 30’","39 ゚ 51’","Pass",141.5,39.85
"早崎瀬戸","はやさきせと","Hayasaki Seto","130 ゚ 09’","32 ゚ 33’","Sea Area",130.15,32.55
"早島町","はやしまちょう","Hayashima Cho","133 ゚ 49’","34 ゚ 36’","Municipality",133.8166666667,34.6
"速吸瀬戸(豊予海峡)","はやすいせと(ほうよかいきょう)","Hayasui Seto (Hoyo Kaikyo)","131 ゚ 57’","33 ゚ 19’","Sea Area",131.95,33.3166666667
"幡豆町","はずちょう","Hazu Cho","137 ゚ 07’","34 ゚ 47’","Municipality",137.1166666667,34.7833333333
"辺戸岬","へどみさき","Hedo Misaki","128 ゚ 16’","26 ゚ 51’","Cape",128.2666666667,26.85
"舳倉島","へぐらじま","Hegura Jima","136 ゚ 54’","37 ゚ 51’","Island",136.9,37.85
"平群町","へぐりちょう","Heguri Cho","135 ゚ 42’","34 ゚ 37’","Municipality",135.7,34.6166666667
"閉伊川","へいがわ","Hei Gawa","141 ゚ 53’","39 ゚ 37’","River",141.8833333333,39.6166666667
"閉伊埼","へいざき","Hei Zaki","142 ゚ 01’","39 ゚ 39’","Cape",142.0166666667,39.65
"平郡島","へいぐんとう","Heigun To","132 ゚ 13’","33 ゚ 47’","Island",132.2166666667,33.7833333333
"平家岳","へいけがだけ","Heikega Dake","131 ゚ 53’","34 ゚ 19’","Mountain",131.8833333333,34.3166666667
"平家岳","へいけがたけ","Heikegatake","136 ゚ 42’","35 ゚ 48’","Mountain",136.7,35.8
